source,target,overlap
/home/ubuntu/Masterarbeit/dataset005/robot/k8/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.557452
/home/ubuntu/Masterarbeit/dataset005/robot/k8/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.558357
/home/ubuntu/Masterarbeit/dataset005/robot/k8/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.556818
/home/ubuntu/Masterarbeit/dataset005/robot/k8/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.250204
/home/ubuntu/Masterarbeit/dataset005/robot/k8/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.266289
/home/ubuntu/Masterarbeit/dataset005/robot/k8/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.264043
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.509931
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.508249
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.508059
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.492163
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.491996
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.491736
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.376845
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.378508
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.376715
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.398991
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.400183
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.400145
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.241124
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.239956
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.23907
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.547606
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.548483
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.547354
/home/ubuntu/Masterarbeit/dataset005/robot/k2/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.479965
/home/ubuntu/Masterarbeit/dataset005/robot/k2/30/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.481816
/home/ubuntu/Masterarbeit/dataset005/robot/k2/30/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.481049
/home/ubuntu/Masterarbeit/dataset005/robot/k2/60/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.286579
/home/ubuntu/Masterarbeit/dataset005/robot/k2/60/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.286638
/home/ubuntu/Masterarbeit/dataset005/robot/k2/60/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.287609
/home/ubuntu/Masterarbeit/dataset005/robot/k2/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.388753
/home/ubuntu/Masterarbeit/dataset005/robot/k2/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.390092
/home/ubuntu/Masterarbeit/dataset005/robot/k2/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.391069
/home/ubuntu/Masterarbeit/dataset005/robot/k2/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.156529
/home/ubuntu/Masterarbeit/dataset005/robot/k2/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.159679
/home/ubuntu/Masterarbeit/dataset005/robot/k2/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.159069
/home/ubuntu/Masterarbeit/dataset005/robot/k3/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.626971
/home/ubuntu/Masterarbeit/dataset005/robot/k3/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.628673
/home/ubuntu/Masterarbeit/dataset005/robot/k3/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.62706
/home/ubuntu/Masterarbeit/dataset005/robot/k3/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/1.ply,0.586322
